road_id,start_x,start_y,end_x,end_y,capacity,road_type,zone
328559,-121.0378269,39.1664426,-121.0381033,39.1651201,local,unknown
330552,-121.1439379,39.1347475,-121.1452542,39.1372728,local,unknown
331652,-121.1835123,39.0915081,-121.2322171,39.0753213,local,unknown
331795,-120.9738499,39.1742453,-120.9726123,39.1721687,local,unknown
332555,-121.047301,39.1807433,-121.0461537,39.1767848,local,unknown
332843,-121.0469395,39.2094996,-121.044675,39.2087234,local,unknown
333389,-121.0433856,39.2079804,-121.044675,39.2087234,local,unknown
333943,-121.1527425,39.1009448,-121.1503488,39.1125491,local,unknown
334433,-121.1499572,39.1137807,-121.1503488,39.1125491,local,unknown
334569,-121.0333985,39.1592479,-121.0366663,39.1617192,local,unknown
334899,-120.9686642,39.1607472,-120.9684111,39.1624672,local,unknown
335099,-121.0010611,39.114789,-121.005658,39.105559,local,unknown
335265,-120.9726063,39.1717172,-120.9720675,39.1705091,local,unknown
335615,-120.9753265,39.1778995,-120.9754129,39.1760322,local,unknown
335774,-120.9669315,39.1452064,-120.9676751,39.1453628,local,unknown
335904,-121.0074444,39.1918593,-121.0090967,39.1935764,local,unknown
336262,-121.0386354,39.2050852,-121.0389411,39.2054562,local,unknown
336375,-121.0233601,39.1987999,-121.0221773,39.1988954,local,unknown
336639,-121.2867202,39.019256,-121.2865453,39.018704,local,unknown
337337,-120.9495877,39.1151712,-120.9501153,39.1138952,local,unknown
338647,-120.950857,39.0968748,-120.950708,39.0960424,local,unknown
340854,-121.0345796,39.2346366,-121.0339987,39.2345746,local,unknown
341062,-121.0401424,39.1592257,-121.0389507,39.1534782,local,unknown
343556,-120.9724339,39.1872298,-120.9768046,39.190016,local,unknown
343743,-120.9699769,39.1682045,-120.9695421,39.1676415,local,unknown
343745,-120.9699769,39.1682045,-120.9703982,39.1686672,local,unknown
344041,-121.1738759,39.0898201,-121.1738012,39.0898189,local,unknown
344042,-121.1738759,39.0898201,-121.1774626,39.090927,local,unknown
335394,-121.0615854,39.2140137,-121.0615551,39.2137723,local,unknown
331035,-121.063265,39.2172639,-121.0640009,39.2177303,local,unknown
332584,-121.0476492,39.2310408,-121.0506052,39.2292857,local,unknown
333553,-121.0561294,39.212725,-121.057287,39.2125165,local,unknown
336155,-121.067765,39.214868,-121.0692445,39.2155006,local,unknown
333274,-121.0372725,39.2348108,-121.0388707,39.2333288,local,unknown
335056,-121.059025,39.2218328,-121.0587803,39.2209468,local,unknown
329058,-121.0684119,39.2207662,-121.0676683,39.220335,local,unknown
333963,-121.0601351,39.2117205,-121.0616657,39.2121933,local,unknown
342982,-121.0800189,39.2171017,-121.0790183,39.2200212,local,unknown
336365,-121.0748496,39.206122,-121.0749417,39.2074898,local,unknown
339969,-121.0629223,39.2112095,-121.0619079,39.210822,local,unknown
334075,-121.0634601,39.2327261,-121.0625452,39.2327546,local,unknown
328693,-121.0826414,39.2224735,-121.08165,39.222532,local,unknown
332531,-121.0555126,39.2151271,-121.0555576,39.2157898,local,unknown
342942,-121.0788157,39.2119901,-121.0799017,39.2147944,local,unknown
333858,-121.070311,39.2303165,-121.0714809,39.2294236,local,unknown
328448,-121.0534934,39.2206568,-121.0495581,39.2241804,local,unknown
336292,-121.0649591,39.2180829,-121.0646785,39.219192,local,unknown
328936,-121.056729,39.2158292,-121.0585531,39.2159805,local,unknown
332421,-121.0489767,39.2138793,-121.0489372,39.2138093,local,unknown
331875,-121.0613963,39.2205761,-121.0616897,39.2200334,local,unknown
331110,-121.0588291,39.2310729,-121.059435,39.2320711,local,unknown
329100,-121.0577326,39.220953,-121.0573909,39.2218368,local,unknown
330299,-121.0606696,39.2281591,-121.0624389,39.2290166,local,unknown
