road_id,importance
road_23,0.09360504870409356
road_29,0.08939202720280484
road_42,0.0793714269393061
road_45,0.04970931540651311
road_30,0.04380778495714905
road_49,0.03970654368199234
road_0,0.03523607637973599
road_16,0.03313506958889406
road_33,0.03207685604310497
road_2,0.030437218595161533
road_1,0.029367704689276828
road_18,0.026232262737903102
road_46,0.02421255022654197
road_5,0.02418227602198095
road_20,0.023396421400914937
road_4,0.023389772441457388
road_11,0.022392518200129295
road_7,0.021836055559367837
road_37,0.02169494107104197
road_26,0.018310063763400972
road_39,0.01770857848506626
road_44,0.016869072517276335
road_41,0.01610996768469498
road_35,0.016082789165572313
road_14,0.015118995714829848
road_13,0.01506675961861584
road_48,0.01379661293931688
road_15,0.013445013070122929
road_17,0.012320454582458475
road_47,0.011923988195214306
road_40,0.011257173613422744
road_21,0.010761539600927525
road_28,0.009410212277758637
road_24,0.007614271204958391
road_25,0.0065288482954861905
road_12,0.005805037602400097
road_27,0.005182751722424465
road_19,0.004589112159041888
road_3,0.004022359818160018
road_36,0.003814018877825569
road_22,0.0037830402827916396
road_10,0.0037654298537774644
road_6,0.0034847166859129962
road_43,0.0027844880783974056
road_38,0.002268531864339617
road_8,0.0017569718915544962
road_32,0.0013563915549639402
road_31,0.0008478818793914408
road_9,0.0006516423998041034
road_34,0.00038141475272260447
